06FE,2020-01-24,00:00:00,0,2276,0
06FE,2020-01-24,00:00:10,0,2279,0
06FE,2020-01-24,00:00:20,0,2278,0
06FE,2020-01-24,00:00:30,0,2278,0
06FE,2020-01-24,00:00:40,0,2276,0
06FE,2020-01-24,00:00:50,0,2275,0
06FE,2020-01-24,00:01:00,0,2274,0
06FE,2020-01-24,00:01:10,0,2276,0
06FE,2020-01-24,00:01:20,0,2275,0
06FE,2020-01-24,00:01:30,0,2271,0
06FE,2020-01-24,00:01:40,0,2273,0
06FE,2020-01-24,00:01:50,0,2274,0
06FE,2020-01-24,00:02:00,0,2272,0
06FE,2020-01-24,00:02:10,0,2277,0
06FE,2020-01-24,00:02:20,0,2275,0
06FE,2020-01-24,00:02:30,0,2271,0
06FE,2020-01-24,00:02:40,0,2273,0
06FE,2020-01-24,00:02:50,0,2275,0
06FE,2020-01-24,00:03:00,0,2273,0
06FE,2020-01-24,00:03:10,0,2274,0
06FE,2020-01-24,00:03:20,0,2275,0
06FE,2020-01-24,00:03:30,0,2273,0
06FE,2020-01-24,00:03:40,0,2272,0
06FE,2020-01-24,00:03:50,0,2274,0
06FE,2020-01-24,00:04:00,0,2273,0
06FE,2020-01-24,00:04:10,0,2276,0
06FE,2020-01-24,00:04:20,0,2272,0
06FE,2020-01-24,00:04:30,0,2276,0
06FE,2020-01-24,00:04:40,0,2272,0
06FE,2020-01-24,00:04:50,0,2274,0
06FE,2020-01-24,00:05:00,0,2273,0
06FE,2020-01-24,00:05:10,0,2270,0
06FE,2020-01-24,00:05:20,0,2271,0
06FE,2020-01-24,00:05:30,0,2274,0
06FE,2020-01-24,00:05:40,0,2271,0
06FE,2020-01-24,00:05:50,0,2275,0
06FE,2020-01-24,00:06:00,0,2273,0
06FE,2020-01-24,00:06:10,0,2274,0
06FE,2020-01-24,00:06:20,0,2276,0
06FE,2020-01-24,00:06:30,0,2277,0
06FE,2020-01-24,00:06:40,0,2275,0
06FE,2020-01-24,00:06:50,0,2274,0
06FE,2020-01-24,00:07:00,0,2272,0
06FE,2020-01-24,00:07:10,0,2274,0
06FE,2020-01-24,00:07:20,0,2269,0
06FE,2020-01-24,00:07:30,0,2273,0
06FE,2020-01-24,00:07:40,0,2271,0
06FE,2020-01-24,00:07:50,0,2270,0
06FE,2020-01-24,00:08:00,0,2272,0
06FE,2020-01-24,00:08:10,0,2272,0
06FE,2020-01-24,00:08:20,0,2274,0
06FE,2020-01-24,00:08:30,0,2273,0
06FE,2020-01-24,00:08:40,0,2274,0
06FE,2020-01-24,00:08:50,0,2273,0
06FE,2020-01-24,00:09:00,0,2273,0
06FE,2020-01-24,00:09:10,0,2271,0
06FE,2020-01-24,00:09:20,0,2272,0
06FE,2020-01-24,00:09:30,0,2271,0
06FE,2020-01-24,00:09:40,0,2273,0
06FE,2020-01-24,00:09:50,0,2272,0
06FE,2020-01-24,00:10:00,0,2272,0
06FE,2020-01-24,00:10:10,0,2268,0
06FE,2020-01-24,00:10:20,0,2274,0
06FE,2020-01-24,00:10:30,0,2268,0
06FE,2020-01-24,00:10:40,0,2272,0
06FE,2020-01-24,00:10:50,0,2271,0
06FE,2020-01-24,00:11:00,0,2269,0
06FE,2020-01-24,00:11:10,0,2272,0
06FE,2020-01-24,00:11:20,0,2271,0
06FE,2020-01-24,00:11:30,0,2268,0
06FE,2020-01-24,00:11:40,0,2272,0
06FE,2020-01-24,00:11:50,0,2267,0
06FE,2020-01-24,00:12:00,0,2268,0
06FE,2020-01-24,00:12:10,0,2271,0
06FE,2020-01-24,00:12:20,0,2269,0
06FE,2020-01-24,00:12:30,0,2271,0
06FE,2020-01-24,00:12:40,0,2270,0
06FE,2020-01-24,00:12:50,0,2269,0
06FE,2020-01-24,00:13:00,0,2272,0
06FE,2020-01-24,00:13:10,0,2271,0
06FE,2020-01-24,00:13:20,0,2272,0
06FE,2020-01-24,00:13:30,0,2270,0
06FE,2020-01-24,00:13:40,0,2273,0
06FE,2020-01-24,00:13:50,0,2270,0
06FE,2020-01-24,00:14:00,0,2267,0
06FE,2020-01-24,00:14:10,0,2272,0
06FE,2020-01-24,00:14:20,0,2273,0
06FE,2020-01-24,00:14:30,0,2271,0
06FE,2020-01-24,00:14:40,0,2270,0
06FE,2020-01-24,00:14:50,0,2267,0
06FE,2020-01-24,00:15:00,0,2272,0
06FE,2020-01-24,00:15:10,0,2267,0
06FE,2020-01-24,00:15:20,0,2268,0
06FE,2020-01-24,00:15:30,0,2271,0
06FE,2020-01-24,00:15:40,0,2271,0
06FE,2020-01-24,00:15:50,0,2268,0
06FE,2020-01-24,00:16:00,0,2270,0
06FE,2020-01-24,00:16:10,0,2274,0
06FE,2020-01-24,00:16:20,0,2271,0
06FE,2020-01-24,00:16:30,0,2267,0
06FE,2020-01-24,00:16:40,0,2268,0
06FE,2020-01-24,00:16:50,0,2266,0
06FE,2020-01-24,00:17:00,0,2267,0
06FE,2020-01-24,00:17:10,0,2266,0
06FE,2020-01-24,00:17:20,0,2267,0
06FE,2020-01-24,00:17:30,0,2267,0
06FE,2020-01-24,00:17:40,0,2267,0
06FE,2020-01-24,00:17:50,0,2268,0
06FE,2020-01-24,00:18:00,0,2266,0
06FE,2020-01-24,00:18:10,0,2269,0
06FE,2020-01-24,00:18:20,0,2267,0
06FE,2020-01-24,00:18:30,0,2269,0
06FE,2020-01-24,00:18:40,0,2265,0
06FE,2020-01-24,00:18:50,0,2264,0
06FE,2020-01-24,00:19:00,0,2264,0
06FE,2020-01-24,00:19:10,0,2263,0
06FE,2020-01-24,00:19:20,0,2260,0
06FE,2020-01-24,00:19:30,0,2269,0
06FE,2020-01-24,00:19:40,0,2268,0
06FE,2020-01-24,00:19:50,0,2263,0
